,sqft,bedrooms,bathrooms,tax_value
0,3100.0,4.0,3.5,1023282.0
1,1465.0,2.0,1.0,464000.0
2,1243.0,3.0,2.0,564778.0
3,2376.0,4.0,3.0,145143.0
4,2962.0,4.0,3.0,773303.0
5,738.0,2.0,1.0,218552.0
6,3039.0,4.0,3.0,220583.0
7,2540.0,4.0,3.0,430108.0
8,1340.0,3.0,2.5,319668.0
9,1371.0,3.0,2.5,198054.0
10,1677.0,4.0,2.0,528847.0
11,1146.0,2.0,1.0,273745.0
12,2074.0,3.0,2.5,597213.0
13,2018.0,3.0,2.5,534612.0
14,1316.0,2.0,1.0,171838.0
15,1641.0,3.0,1.0,432754.0
16,3870.0,6.0,4.5,2040000.0
17,1538.0,3.0,2.0,401399.0
18,1851.0,3.0,2.0,85035.0
19,3230.0,2.0,3.0,954106.0
20,2447.0,4.0,3.0,1083000.0
21,1987.0,4.0,2.5,703127.0
22,3641.0,3.0,3.0,1444248.0
23,3572.0,5.0,4.0,1473080.0
24,1979.0,4.0,2.5,800017.0
25,2637.0,3.0,3.0,833227.0
26,1818.0,5.0,2.0,166428.0
27,3160.0,4.0,3.0,691816.0
28,1529.0,2.0,2.0,657099.0
29,1447.0,3.0,2.0,70755.0
30,872.0,3.0,1.0,248916.0
31,5492.0,4.0,5.0,1814004.0
32,2317.0,4.0,3.0,309821.0
33,4468.0,4.0,5.0,1279000.0
34,1734.0,3.0,2.5,638000.0
35,1815.0,3.0,2.0,103293.0
36,609.0,2.0,1.0,162320.0
37,2380.0,3.0,3.0,654279.0
38,3415.0,4.0,4.0,579059.0
39,1367.0,2.0,2.0,815542.0
40,1814.0,2.0,2.0,310117.0
41,928.0,2.0,1.0,241624.0
42,1463.0,3.0,2.0,200726.0
43,1481.0,3.0,2.0,606645.0
44,1625.0,4.0,2.0,97097.0
45,9586.0,5.0,6.5,3624442.0
46,812.0,2.0,1.0,40746.0
47,2406.0,3.0,3.0,605540.0
48,776.0,2.0,1.0,164836.0
49,1059.0,3.0,2.0,187119.0
50,1046.0,2.0,1.0,232000.0
51,5900.0,5.0,4.0,737397.0
52,5823.0,5.0,5.0,852836.0
53,1457.0,3.0,2.0,334119.0
54,3721.0,4.0,4.0,1289594.0
55,1152.0,3.0,2.0,218510.0
56,1607.0,3.0,2.0,963231.0
57,2283.0,3.0,2.5,730498.0
58,1027.0,2.0,1.0,49034.0
59,2453.0,5.0,3.0,473286.0
60,1121.0,2.0,1.0,72867.0
61,847.0,2.0,1.0,214354.0
62,1266.0,4.0,2.0,465990.0
63,1070.0,2.0,1.0,141693.0
64,1360.0,3.0,1.5,265259.0
65,1810.0,2.0,2.0,144688.0
66,1244.0,3.0,2.0,199420.0
67,2468.0,5.0,3.0,541129.0
68,3011.0,3.0,2.5,1441252.0
69,2581.0,3.0,3.0,1070352.0
70,1270.0,3.0,2.5,553311.0
71,2007.0,3.0,3.0,633122.0
72,1040.0,3.0,1.0,234319.0
73,968.0,3.0,1.0,37210.0
74,1731.0,3.0,2.0,73745.0
